date,duration,T,Wind,P,Rh,Precipitations,Cₐ,e,eₛ,VPD,ρ,λ,γ,ε,Δ,clearness,Ri_SW_f,Ri_PAR_f,Ri_NIR_f,Ri_TIR_f,Ri_custom_f,Ri_SW_f_direct,Ri_SW_f_diffuse
2025-01-01T00:00:00.0,1 hour,-1.2,1.6,102.57000000000001,0.97,0.0,400.0,0.5454082121583581,0.5622765073797507,0.01686829522139255,1.3138952117165725,2.503838e6,0.06671649002778908,0.5103333760166815,0.04138310990482008,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T01:00:00.0,1 hour,0.9,2.01,102.58,0.98,0.0,400.0,0.6419497560198679,0.6550507714488448,0.013101015428976903,1.3039541650028175,2.4988715e6,0.06685560627340492,0.5217807602023075,0.04737484909467682,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T02:00:00.0,1 hour,1.5,2.5,102.58,0.97,0.0,400.0,0.6634156123386217,0.6839336209676512,0.020518008629029527,1.3011055485855532,2.4974525e6,0.06689359222320856,0.5240745138201256,0.049218402841670894,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T03:00:00.0,1 hour,1.4,2.61,102.55,0.97,0.0,400.0,0.6586716411760807,0.6790429290475058,0.02037128787142517,1.3011988003675885,2.497689e6,0.06686769674324244,0.5235647361938126,0.048906919201453514,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T04:00:00.0,1 hour,1.5,2.12,102.52000000000001,0.97,0.0,400.0,0.6634156123386217,0.6839336209676512,0.020518008629029527,1.3003445197990926,2.4974525e6,0.06685446553639444,0.5240745138201256,0.049218402841670894,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T05:00:00.0,1 hour,1.2,1.92,102.5,0.98,0.0,400.0,0.6559672248193541,0.6693543110401573,0.013387086220803202,1.3015124846999098,2.498162e6,0.06682243975481385,0.5233115726244215,0.04828904444881155,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T06:00:00.0,1 hour,1.8,2.04,102.49000000000001,0.95,0.0,400.0,0.663853607245393,0.6987932707846243,0.03493966353923128,1.298545604963521,2.496743e6,0.06685389468164399,0.5240421937136436,0.05016313116266269,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T07:00:00.0,1 hour,1.9,1.9,102.47999999999999,0.95,0.0,400.0,0.668619104705846,0.7038095839008905,0.03519047919504459,1.2979468387275759,2.4965065e6,0.06685370432462258,0.5245507055983919,0.05048149220825304,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T08:00:00.0,1 hour,2.0,2.02,102.49000000000001,0.94,0.0,400.0,0.6663262691344128,0.7088577331217158,0.04253146398730301,1.2976017230046157,2.49627e6,0.06686656233866202,0.5242661310486482,0.05080159202518808,Inf,6.0,2.88,3.12,Inf,Inf,0.0,6.0
2025-01-01T09:00:00.0,1 hour,2.8,1.94,102.50999999999999,0.92,0.0,400.0,0.6903772522759819,0.7504100568217195,0.06003280454573756,1.2940923582899815,2.494378e6,0.06693033931360792,0.5267100561635917,0.05342593045308597,Inf,47.0,22.56,24.44,Inf,Inf,0.0,47.0
2025-01-01T10:00:00.0,1 hour,3.8,1.52,102.54,0.89,0.0,400.0,0.7167796948543382,0.8053704436565597,0.08859074880222151,1.289797055599282,2.492013e6,0.06701346439095585,0.5292680108366877,0.056869764345582885,Inf,87.0,41.76,45.24,Inf,Inf,3.0,84.0
2025-01-01T11:00:00.0,1 hour,4.8,1.53,102.50999999999999,0.88,0.0,400.0,0.7601960315913158,0.8638591268083133,0.10366309521699757,1.2847806665591668,2.489648e6,0.06705749805450356,0.5334584368298584,0.06050281827467696,Inf,113.0,54.239999999999995,58.760000000000005,Inf,Inf,5.0,108.0
2025-01-01T12:00:00.0,1 hour,5.7,1.59,102.4,0.85,0.0,400.0,0.7817237305731126,0.9196749771448384,0.13795124657172575,1.2792597785562771,2.4875195e6,0.06704285856108098,0.5353435186472774,0.06394133733107932,Inf,124.0,59.519999999999996,64.48,Inf,Inf,5.0,119.0
2025-01-01T13:00:00.0,1 hour,6.8,2.01,102.37,0.91,0.0,400.0,0.9029038088185326,0.9922019877126732,0.0892981788941406,1.2738599070273875,2.484918e6,0.0670933847658275,0.5461720335200352,0.06837071210498036,Inf,124.0,59.519999999999996,64.48,Inf,Inf,2.0,122.0
2025-01-01T14:00:00.0,1 hour,7.2,1.25,102.3,0.91,0.0,400.0,0.9280183525509017,1.0198003874185733,0.09178203486767156,1.2711725640214573,2.483972e6,0.06707304118971408,0.5482050459874152,0.07004538684928452,Inf,101.0,48.48,52.52,Inf,Inf,0.0,101.0
2025-01-01T15:00:00.0,1 hour,7.3,1.03,102.27000000000001,0.92,0.0,400.0,0.9446605320152216,1.0268049261035017,0.08214439408828011,1.2703466573197177,2.4837355e6,0.06705975646327726,0.5495707956679534,0.07046951040465821,Inf,84.0,40.32,43.68,Inf,Inf,9.0,75.0
2025-01-01T16:00:00.0,1 hour,6.7,0.7,102.27000000000001,0.96,0.0,400.0,0.9459899927997377,0.9854062424997269,0.039416249699989137,1.2730702878160258,2.4851545e6,0.06702146596889495,0.549849425152536,0.06795745212946347,Inf,35.0,16.8,18.2,Inf,Inf,5.0,30.0
2025-01-01T17:00:00.0,1 hour,6.2,1.3,102.27000000000001,0.97,0.0,400.0,0.9234787324492593,0.9520399303600611,0.028561197910801805,1.275348917291265,2.486337e6,0.06698959061028177,0.54810086620607,0.06592314694202628,Inf,1.0,0.48,0.52,Inf,Inf,0.0,1.0
2025-01-01T18:00:00.0,1 hour,5.8,1.52,102.25,0.97,0.0,400.0,0.8982870375516079,0.9260691108779463,0.02778207332633842,1.2769279364040664,2.487283e6,0.06695101659197174,0.5460512723129575,0.06433355342974068,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T19:00:00.0,1 hour,4.9,1.62,102.25,0.97,0.0,400.0,0.8438121263767075,0.869909408635781,0.026097282259073484,1.2810611323859533,2.4894115e6,0.06689377204288213,0.5414427962427634,0.06087685410788524,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T20:00:00.0,1 hour,4.6,2.21,102.26,0.98,0.0,400.0,0.8348325844472423,0.851869984129839,0.017037399682596766,1.2825702392533376,2.490121e6,0.06688125258795163,0.5406992767509539,0.05976066776292921,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T21:00:00.0,1 hour,5.1,2.4,102.22999999999999,0.98,0.0,400.0,0.864479933928958,0.8821223815601613,0.017642447631203262,1.2798899395310468,2.4889385e6,0.0668933977495476,0.543261936295288,0.06163089000141064,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T22:00:00.0,1 hour,5.5,2.18,102.21000000000001,0.97,0.0,400.0,0.8797934467405163,0.9070035533407385,0.02721010660022216,1.2778026322954008,2.4879925e6,0.06690574055484312,0.5445146303295006,0.06316306167955199,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-01T23:00:00.0,1 hour,5.2,2.06,102.17999999999999,0.96,0.0,400.0,0.8527540517378902,0.8882854705603024,0.035531418822412175,1.2788043657661674,2.488702e6,0.06686703437635168,0.5421752399504965,0.06201090737522397,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-02T00:00:00.0,1 hour,5.7,2.37,102.14,0.95,0.0,400.0,0.8736912282875964,0.9196749771448384,0.04598374885724199,1.2760116580247867,2.4875195e6,0.06687263255301573,0.5439177324019356,0.06394133733107932,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-01-02T01:00:00.0,1 hour,5.8,2.28,102.05,0.96,0.0,400.0,0.8890263464428284,0.9260691108779463,0.03704276443511789,1.2744302778487528,2.487283e6,0.06682006105829551,0.5452434970827503,0.06433355342974068,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
